Source,Title,Date,Author,Link,Extract
GDELT,Artificial Intelligence for Drug Design,2026-01-03,link.springer.com,https://link.springer.com/referencework/10.1007/978-981-95-2525-6,Artificial Intelligence for Drug Design
GDELT,Incidence of High - Grade Vulvovaginal Lesions Lower With HPV Vaccination,2026-01-03,clinicaladvisor.com,https://www.clinicaladvisor.com/news/vulvovaginal-lesions-hpv-vaccination/,Incidence of High - Grade Vulvovaginal Lesions Lower With HPV Vaccination
GDELT,"Muốn ra thế giới , Việt Nam phải làm chủ sản phẩm chiến lược",2026-01-03,baophapluat.vn,https://baophapluat.vn/muon-ra-the-gioi-viet-nam-phai-lam-chu-san-pham-chien-luoc.html,"Muốn ra thế giới , Việt Nam phải làm chủ sản phẩm chiến lược"
GDELT,2 Predictions for Pfizer in 2026 | The Motley Fool,2026-01-03,fool.com,https://www.fool.com/investing/2026/01/02/2-predictions-for-pfizer-in-2026/?source=iedfolrf0000001,2 Predictions for Pfizer in 2026 | The Motley Fool
GDELT,"Wellbeing in 2026 : Recovery , JOMO and brain boosters",2026-01-03,bbc.com,https://www.bbc.com/news/articles/c7v06q91v31o,"Wellbeing in 2026 : Recovery , JOMO and brain boosters"
GDELT,"Morta Chiara Costanzo , lultima speranza spenta a Crans - Montana . Il papà :  Mi hanno chiamato per identificarla , mia figlia non c  è più  ",2026-01-03,quotidiano.net,https://www.quotidiano.net/cronaca/chiara-costanzo-ultima-speranza-tra-i-feriti-ignoti-di-crans-montana-r7zb2jfx,"Morta Chiara Costanzo , lultima speranza spenta a Crans - Montana . Il papà :  Mi hanno chiamato per identificarla , mia figlia non c  è più  "
GDELT,Why World Health Expo 2026 in Johannesburg Matters for Africa and Beyond,2026-01-03,sierraexpressmedia.com,https://sierraexpressmedia.com/why-world-health-expo-2026-in-johannesburg/,Why World Health Expo 2026 in Johannesburg Matters for Africa and Beyond
GDELT,,2026-01-03,primicia.com.ve,https://primicia.com.ve/mas/virales/nacio-sin-sistema-inmunitario-y-una-terapia-genica-le-salvo-la-vida/,
GDELT,"Назван новогодний подарок , способный навредить здоровью ребёнка",2026-01-03,russian.rt.com,https://russian.rt.com/russia/news/1576118-ekspert-podarki-deti-opasnost,"Назван новогодний подарок , способный навредить здоровью ребёнка"
GDELT,PPU COMEX Sp . z o . o . - Innowacyjna firma oferująca najwyższej jakości wyroby poligraficzne i etykiety RFID,2026-01-03,businesspl.com,https://businesspl.com:443/index.php/przemysl-drzewny-i-papierniczy/19838-ppu-comex-sp-z-o-o-innowacyjna-firma-oferujaca-najwyzszej-jakosci-wyroby-poligraficzne-i-etykiety-rfid,PPU COMEX Sp . z o . o . - Innowacyjna firma oferująca najwyższej jakości wyroby poligraficzne i etykiety RFID
GDELT,Editorial : Future of USPS in jeopardy,2026-01-03,vnews.com,https://vnews.com/2026/01/02/postal-service-financial-crisis/,Editorial : Future of USPS in jeopardy
GDELT,창립 100주년 유한양행  글로벌 톱 50 제약사될 것  - ZDNet korea,2026-01-03,zdnet.co.kr,https://zdnet.co.kr/view/?no=20260103083734,창립 100주년 유한양행  글로벌 톱 50 제약사될 것  - ZDNet korea
GDELT,How Will Weight Loss Medications Change In 2026 ? ,2026-01-03,lonestar995fm.com,https://lonestar995fm.com/ixp/514/p/cost-effective-weight-loss-solutions/,How Will Weight Loss Medications Change In 2026 ? 
GDELT,  Restoring Medical Autonomy : CMS reduces federal push and incentives for high vaccination rates in reporting,2026-01-03,oann.com,https://www.oann.com/newsroom/restoring-medical-autonomy-cms-reduces-federal-push-and-incentives-for-high-vaccination-rates-in-reporting/,  Restoring Medical Autonomy : CMS reduces federal push and incentives for high vaccination rates in reporting
GDELT,Apuntan a Starmer por desviar miles de millones de libras destinadas a la sanidad para favorecer a Trump,2026-01-03,actualidad.rt.com,https://actualidad.rt.com/actualidad/579992-primer-ministro-britanico-desviar-millones-trump,Apuntan a Starmer por desviar miles de millones de libras destinadas a la sanidad para favorecer a Trump
GDELT,Praca Technik farmaceutyczny - 5800 netto - Bielsko - Biała - oferty pracy dostarczone przez Praca . farmacja . pl,2026-01-03,praca.egospodarka.pl,"https://www.praca.egospodarka.pl/oferty-pracy/praca-farmacja-pl/technik-farmaceutyczny-5800-netto-bielsko-biala,69387013.html",Praca Technik farmaceutyczny - 5800 netto - Bielsko - Biała - oferty pracy dostarczone przez Praca . farmacja . pl
GDELT,GEN Homepage,2026-01-03,genengnews.com,https://www.genengnews.com/?blackhole=a157e9cec9,GEN Homepage
GDELT,Cardinal Health ( CAH ) Repositions for Growth with Specialty and Services,2026-01-03,insidermonkey.com,https://www.insidermonkey.com/blog/cardinal-health-cah-repositions-for-growth-with-specialty-and-services-1669590/,Cardinal Health ( CAH ) Repositions for Growth with Specialty and Services
GDELT,Xenotrasplantes : los órganos de animales se acercan a la clínica,2026-01-03,elmundo.es,https://www.elmundo.es/papel/futuro/2026/01/03/694ebf52e9cf4a643b8b4586.html,Xenotrasplantes : los órganos de animales se acercan a la clínica
GDELT,How Many H - 1B Visas And EB - 2 U . S . Green Cards Are Granted Each Year ? The Numbers May Surprise You,2026-01-03,forbes.com,https://www.forbes.com/sites/dougmelville/2026/01/02/how-many-h-1b-visas-and-eb-2-us-green-cards-are-granted-each-year-the-numbers-may-surprise-you/,How Many H - 1B Visas And EB - 2 U . S . Green Cards Are Granted Each Year ? The Numbers May Surprise You
GDELT,Baystreet . ca - Novel Modalities Drive $668B Precision Oncology Expansion,2026-01-03,baystreet.ca,http://baystreet.ca/articles/stockstowatch/117442/Novel-Modalities-Drive-668B-Precision-Oncology-Expansion,Baystreet . ca - Novel Modalities Drive $668B Precision Oncology Expansion
GDELT,Insider Buying : Smart Money Just Spent +$100M on These 3 Stocks,2026-01-03,finance.yahoo.com,https://finance.yahoo.com/news/insider-buying-smart-money-just-163500486.html,Insider Buying : Smart Money Just Spent +$100M on These 3 Stocks
GDELT,China biopharma sector  in prime position to challenge US leadership  ,2026-01-02,scmp.com,https://www.scmp.com/news/china/science/article/3338481/chinas-biopharma-sector-prime-position-challenge-us-leadership,China biopharma sector  in prime position to challenge US leadership  
GDELT,Why Big Pharma Is Paying Billion - Dollar Premiums for Diagnostics,2026-01-02,wealthdaily.com,https://www.wealthdaily.com/why-big-pharma-is-paying-billion-dollar-premiums-for-diagnostics/,Why Big Pharma Is Paying Billion - Dollar Premiums for Diagnostics
GDELT,  Biosecure Act : New bill forces California biotech firms to cut ties with Chinese companies – The Mercury News,2026-01-02,mercurynews.com,https://www.mercurynews.com/2026/01/02/new-bill-forces-local-biotech-firms-to-cut-ties-with-chinese-companies/,  Biosecure Act : New bill forces California biotech firms to cut ties with Chinese companies – The Mercury News
GDELT,GEN Homepage,2026-01-02,genengnews.com,https://www.genengnews.com/?blackhole=61a1f3e911,GEN Homepage
GDELT,Technology can help us lead more moral lives if we let it,2026-01-02,newsday.com,https://www.newsday.com/opinion/commentary/animal-testing-cruelty-hdd7vael,Technology can help us lead more moral lives if we let it
GDELT,WSJ : Democrat Boston Biotech Boom Goes Bust,2026-01-02,breitbart.com,https://www.breitbart.com/tech/2026/01/02/wsj-democrat-bostons-biotech-boom-goes-bust/,WSJ : Democrat Boston Biotech Boom Goes Bust
GDELT,BitVentures Pivots into Crypto Mining After Nasdaq Rebrand,2026-01-02,cointelegraph.com,https://cointelegraph.com/news/bitventures-crypto-mining-pivot-nasdaq-rebrand,BitVentures Pivots into Crypto Mining After Nasdaq Rebrand
GDELT, „ KI löst Flash - Crash aus : Die 8 gewagten Vorhersagen der Saxo Bank für 2026,2026-01-02,boerse-online.de,https://www.boerse-online.de/nachrichten/aktien/ki-loest-flash-crash-aus-die-8-gewagten-vorhersagen-der-saxo-bank-fuer-2026-20392871.html, „ KI löst Flash - Crash aus : Die 8 gewagten Vorhersagen der Saxo Bank für 2026
GDELT,Fentanyl vaccine enters human clinical trials in 2026 for overdose prevention,2026-01-02,foxnews.com,https://www.foxnews.com/health/first-of-its-kind-fentanyl-vaccine-targets-overdoses-before-start,Fentanyl vaccine enters human clinical trials in 2026 for overdose prevention
GDELT,Anticipan un  panorama complicado  para uno de los gigantes del agro,2026-01-02,iprofesional.com,https://www.iprofesional.com/negocios/445183-anticipan-un-panorama-complicado-para-uno-de-los-gigantes-del-agro,Anticipan un  panorama complicado  para uno de los gigantes del agro
GDELT,"10x Genomics ( TXG ) Stock Is Up , What You Need To Know",2026-01-02,finance.yahoo.com,https://finance.yahoo.com/news/10x-genomics-txg-stock-know-184555455.html,"10x Genomics ( TXG ) Stock Is Up , What You Need To Know"
GDELT,Gene Therapy : 5 Biotech Stocks Chasing the $36B Prize,2026-01-02,marketscreener.com,https://www.marketscreener.com/news/gene-therapy-5-biotech-stocks-chasing-the-36b-prize-ce7e59d9dc8ff124,Gene Therapy : 5 Biotech Stocks Chasing the $36B Prize
GDELT,"Plantas que  respiran  nitrógeno y tomates que resisten la sal , la agricultura del futuro « Diario La Capital de Mar del Plata",2026-01-02,lacapitalmdp.com,https://www.lacapitalmdp.com/plantas-que-respiran-nitrogeno-y-tomates-que-resisten-la-sal-la-agricultura-del-futuro/,"Plantas que  respiran  nitrógeno y tomates que resisten la sal , la agricultura del futuro « Diario La Capital de Mar del Plata"
GDELT,Insider Buying : Smart Money Just Spent +$100M on These 3 Stocks,2026-01-02,investing.com,https://www.investing.com/analysis/insider-buying-smart-money-just-spent-100m-on-these-3-stocks-200672626,Insider Buying : Smart Money Just Spent +$100M on These 3 Stocks
GDELT,  Biosecure Act : New bill forces California biotech firms to cut ties with Chinese companies – Silicon Valley,2026-01-02,siliconvalley.com,https://www.siliconvalley.com/2026/01/02/new-bill-forces-local-biotech-firms-to-cut-ties-with-chinese-companies/,  Biosecure Act : New bill forces California biotech firms to cut ties with Chinese companies – Silicon Valley
GDELT,Datavault AI Inc . Bolsters Intellectual Property and Litigation Capabilities with the Addition of Kasowitz LLP lead by Marc Kasowitz to Legal Team,2026-01-02,saltlakecitysun.com,http://www.saltlakecitysun.com/news/278786899/datavault-ai-inc-bolsters-intellectual-property-and-litigation-capabilities-with-the-addition-of-kasowitz-llp-lead-by-marc-kasowitz-to-legal-team,Datavault AI Inc . Bolsters Intellectual Property and Litigation Capabilities with the Addition of Kasowitz LLP lead by Marc Kasowitz to Legal Team
GDELT,Best Healthcare Stocks To Watch Now – January 2nd,2026-01-02,dailypolitical.com,https://www.dailypolitical.com/2026/01/02/best-healthcare-stocks-to-watch-now-january-2nd.html,Best Healthcare Stocks To Watch Now – January 2nd
GDELT,Ainos Articulates Its Platform Strategy to Digitize Smell as the Next Native AI Data Language,2026-01-02,newjerseytelegraph.com,http://www.newjerseytelegraph.com/news/278786887/ainos-articulates-its-platform-strategy-to-digitize-smell-as-the-next-native-ai-data-language,Ainos Articulates Its Platform Strategy to Digitize Smell as the Next Native AI Data Language
GDELT,The BIOSECURE Act Becomes Law In The United States,2026-01-02,mondaq.com,https://www.mondaq.com:443/unitedstates/healthcare/1725294/the-biosecure-act-becomes-law-in-the-united-states,The BIOSECURE Act Becomes Law In The United States
GDELT,Ok al bilancio | Nessuna tassa aumentata,2026-01-03,zazoom.it,https://www.zazoom.it/2026-01-03/ok-al-bilancio-nessuna-tassa-aumentata/18403237/,Ok al bilancio | Nessuna tassa aumentata
GDELT,"Corporate greed and medical complicity fueled a $250 , 000 drug [ PODCAST ] ",2026-01-03,kevinmd.com,https://kevinmd.com/2026/01/corporate-greed-and-medical-complicity-fueled-a-250000-drug-podcast.html,"Corporate greed and medical complicity fueled a $250 , 000 drug [ PODCAST ] "
GDELT,GTA Online : How to Make Passive Income Using the Nightclub,2026-01-03,gameranx.com,https://gameranx.com/features/id/560048/article/gta-online-how-to-make-passive-income-using-the-nightclub/,GTA Online : How to Make Passive Income Using the Nightclub
GDELT,第72回徳島駅伝 ４日から２日間｜徳島新聞社,2026-01-03,topics.or.jp,https://www.topics.or.jp/articles/-/1364112,第72回徳島駅伝 ４日から２日間｜徳島新聞社
GDELT,  No magic bullet : Colorado officials seek ways to curb rising Medicaid costs,2026-01-03,postindependent.com,https://www.postindependent.com/news/medicaid-rising-costs-colorado-seeks-help/,  No magic bullet : Colorado officials seek ways to curb rising Medicaid costs
GDELT,Expansion of travel ban in 2026 creating additional difficulties for Lincoln refugees,2026-01-03,klkntv.com,https://www.klkntv.com/expansion-of-travel-ban-in-2026-creating-additional-difficulties-for-lincoln-refugees/,Expansion of travel ban in 2026 creating additional difficulties for Lincoln refugees
GDELT,GlucoTrust Bites Chewable Blood Sugar Support Gains Consumer Attention as Resistin Research Enters Mainstream Awareness,2026-01-03,manilatimes.net,https://www.manilatimes.net/2026/01/03/tmt-newswire/globenewswire/glucotrust-bites-chewable-blood-sugar-support-gains-consumer-attention-as-resistin-research-enters-mainstream-awareness/2252146,GlucoTrust Bites Chewable Blood Sugar Support Gains Consumer Attention as Resistin Research Enters Mainstream Awareness
GDELT,Best Magnesium Supplement : BIOptimizers Magnesium Breakthrough Under Consumer Analysis as January 2026 Sleep and Stress Searches Surge,2026-01-03,manilatimes.net,https://www.manilatimes.net/2026/01/03/tmt-newswire/globenewswire/best-magnesium-supplement-bioptimizers-magnesium-breakthrough-under-consumer-analysis-as-january-2026-sleep-and-stress-searches-surge/2252148,Best Magnesium Supplement : BIOptimizers Magnesium Breakthrough Under Consumer Analysis as January 2026 Sleep and Stress Searches Surge
GDELT,Best Chocolate Weight Loss Supplement : Consumer Analysis Examines Cacao GLP - 1 Research as January Wellness Interest Surges,2026-01-03,manilatimes.net,https://www.manilatimes.net/2026/01/03/tmt-newswire/globenewswire/best-chocolate-weight-loss-supplement-consumer-analysis-examines-cacao-glp-1-research-as-january-wellness-interest-surges/2252145,Best Chocolate Weight Loss Supplement : Consumer Analysis Examines Cacao GLP - 1 Research as January Wellness Interest Surges
GDELT,"After splash in 2025 , weight - loss drugs poised to take off this year",2026-01-03,indianexpress.com,https://indianexpress.com/article/explained/explained-health/splash-2025-weight-loss-drugs-2026-10452464/,"After splash in 2025 , weight - loss drugs poised to take off this year"
GDELT,The Next Great Transformation : How AI Will Reshape Industries and Itself,2026-01-03,forbes.com,https://www.forbes.com/sites/chuckbrooks/2026/01/02/the-next-great-transformation-how-ai-will-reshape-industries-and-itself/,The Next Great Transformation : How AI Will Reshape Industries and Itself
GDELT,Artificial Intelligence for Drug Design,2026-01-03,link.springer.com,https://link.springer.com/referencework/10.1007/978-981-95-2525-6,Artificial Intelligence for Drug Design
GDELT,Incidence of High - Grade Vulvovaginal Lesions Lower With HPV Vaccination,2026-01-03,clinicaladvisor.com,https://www.clinicaladvisor.com/news/vulvovaginal-lesions-hpv-vaccination/,Incidence of High - Grade Vulvovaginal Lesions Lower With HPV Vaccination
GDELT,"Muốn ra thế giới , Việt Nam phải làm chủ sản phẩm chiến lược",2026-01-03,baophapluat.vn,https://baophapluat.vn/muon-ra-the-gioi-viet-nam-phai-lam-chu-san-pham-chien-luoc.html,"Muốn ra thế giới , Việt Nam phải làm chủ sản phẩm chiến lược"
GDELT,2 Predictions for Pfizer in 2026 | The Motley Fool,2026-01-03,fool.com,https://www.fool.com/investing/2026/01/02/2-predictions-for-pfizer-in-2026/?source=iedfolrf0000001,2 Predictions for Pfizer in 2026 | The Motley Fool
GDELT,"Wellbeing in 2026 : Recovery , JOMO and brain boosters",2026-01-03,bbc.com,https://www.bbc.com/news/articles/c7v06q91v31o,"Wellbeing in 2026 : Recovery , JOMO and brain boosters"
GDELT,"Morta Chiara Costanzo , lultima speranza spenta a Crans - Montana . Il papà :  Mi hanno chiamato per identificarla , mia figlia non c  è più  ",2026-01-03,quotidiano.net,https://www.quotidiano.net/cronaca/chiara-costanzo-ultima-speranza-tra-i-feriti-ignoti-di-crans-montana-r7zb2jfx,"Morta Chiara Costanzo , lultima speranza spenta a Crans - Montana . Il papà :  Mi hanno chiamato per identificarla , mia figlia non c  è più  "
GDELT,Why World Health Expo 2026 in Johannesburg Matters for Africa and Beyond,2026-01-03,sierraexpressmedia.com,https://sierraexpressmedia.com/why-world-health-expo-2026-in-johannesburg/,Why World Health Expo 2026 in Johannesburg Matters for Africa and Beyond
GDELT,,2026-01-03,primicia.com.ve,https://primicia.com.ve/mas/virales/nacio-sin-sistema-inmunitario-y-una-terapia-genica-le-salvo-la-vida/,
GDELT,"Назван новогодний подарок , способный навредить здоровью ребёнка",2026-01-03,russian.rt.com,https://russian.rt.com/russia/news/1576118-ekspert-podarki-deti-opasnost,"Назван новогодний подарок , способный навредить здоровью ребёнка"
GDELT,PPU COMEX Sp . z o . o . - Innowacyjna firma oferująca najwyższej jakości wyroby poligraficzne i etykiety RFID,2026-01-03,businesspl.com,https://businesspl.com:443/index.php/przemysl-drzewny-i-papierniczy/19838-ppu-comex-sp-z-o-o-innowacyjna-firma-oferujaca-najwyzszej-jakosci-wyroby-poligraficzne-i-etykiety-rfid,PPU COMEX Sp . z o . o . - Innowacyjna firma oferująca najwyższej jakości wyroby poligraficzne i etykiety RFID
GDELT,Editorial : Future of USPS in jeopardy,2026-01-03,vnews.com,https://vnews.com/2026/01/02/postal-service-financial-crisis/,Editorial : Future of USPS in jeopardy
GDELT,창립 100주년 유한양행  글로벌 톱 50 제약사될 것  - ZDNet korea,2026-01-03,zdnet.co.kr,https://zdnet.co.kr/view/?no=20260103083734,창립 100주년 유한양행  글로벌 톱 50 제약사될 것  - ZDNet korea
GDELT,How Will Weight Loss Medications Change In 2026 ? ,2026-01-03,lonestar995fm.com,https://lonestar995fm.com/ixp/514/p/cost-effective-weight-loss-solutions/,How Will Weight Loss Medications Change In 2026 ? 
GDELT,  Restoring Medical Autonomy : CMS reduces federal push and incentives for high vaccination rates in reporting,2026-01-03,oann.com,https://www.oann.com/newsroom/restoring-medical-autonomy-cms-reduces-federal-push-and-incentives-for-high-vaccination-rates-in-reporting/,  Restoring Medical Autonomy : CMS reduces federal push and incentives for high vaccination rates in reporting
GDELT,GEN Homepage,2026-01-03,genengnews.com,https://www.genengnews.com/?blackhole=a157e9cec9,GEN Homepage
GDELT,Cardinal Health ( CAH ) Repositions for Growth with Specialty and Services,2026-01-03,insidermonkey.com,https://www.insidermonkey.com/blog/cardinal-health-cah-repositions-for-growth-with-specialty-and-services-1669590/,Cardinal Health ( CAH ) Repositions for Growth with Specialty and Services
GDELT,Xenotrasplantes : los órganos de animales se acercan a la clínica,2026-01-03,elmundo.es,https://www.elmundo.es/papel/futuro/2026/01/03/694ebf52e9cf4a643b8b4586.html,Xenotrasplantes : los órganos de animales se acercan a la clínica
GDELT,How Many H - 1B Visas And EB - 2 U . S . Green Cards Are Granted Each Year ? The Numbers May Surprise You,2026-01-03,forbes.com,https://www.forbes.com/sites/dougmelville/2026/01/02/how-many-h-1b-visas-and-eb-2-us-green-cards-are-granted-each-year-the-numbers-may-surprise-you/,How Many H - 1B Visas And EB - 2 U . S . Green Cards Are Granted Each Year ? The Numbers May Surprise You
GDELT,Baystreet . ca - Novel Modalities Drive $668B Precision Oncology Expansion,2026-01-03,baystreet.ca,http://baystreet.ca/articles/stockstowatch/117442/Novel-Modalities-Drive-668B-Precision-Oncology-Expansion,Baystreet . ca - Novel Modalities Drive $668B Precision Oncology Expansion
GDELT,Insider Buying : Smart Money Just Spent +$100M on These 3 Stocks,2026-01-03,finance.yahoo.com,https://finance.yahoo.com/news/insider-buying-smart-money-just-163500486.html,Insider Buying : Smart Money Just Spent +$100M on These 3 Stocks
GDELT,China biopharma sector  in prime position to challenge US leadership  ,2026-01-02,scmp.com,https://www.scmp.com/news/china/science/article/3338481/chinas-biopharma-sector-prime-position-challenge-us-leadership,China biopharma sector  in prime position to challenge US leadership  
GDELT,Why Big Pharma Is Paying Billion - Dollar Premiums for Diagnostics,2026-01-02,wealthdaily.com,https://www.wealthdaily.com/why-big-pharma-is-paying-billion-dollar-premiums-for-diagnostics/,Why Big Pharma Is Paying Billion - Dollar Premiums for Diagnostics
GDELT,  Biosecure Act : New bill forces California biotech firms to cut ties with Chinese companies – The Mercury News,2026-01-02,mercurynews.com,https://www.mercurynews.com/2026/01/02/new-bill-forces-local-biotech-firms-to-cut-ties-with-chinese-companies/,  Biosecure Act : New bill forces California biotech firms to cut ties with Chinese companies – The Mercury News
GDELT,GEN Homepage,2026-01-02,genengnews.com,https://www.genengnews.com/?blackhole=61a1f3e911,GEN Homepage
GDELT,Technology can help us lead more moral lives if we let it,2026-01-02,newsday.com,https://www.newsday.com/opinion/commentary/animal-testing-cruelty-hdd7vael,Technology can help us lead more moral lives if we let it
GDELT,WSJ : Democrat Boston Biotech Boom Goes Bust,2026-01-02,breitbart.com,https://www.breitbart.com/tech/2026/01/02/wsj-democrat-bostons-biotech-boom-goes-bust/,WSJ : Democrat Boston Biotech Boom Goes Bust
GDELT,BitVentures Pivots into Crypto Mining After Nasdaq Rebrand,2026-01-02,cointelegraph.com,https://cointelegraph.com/news/bitventures-crypto-mining-pivot-nasdaq-rebrand,BitVentures Pivots into Crypto Mining After Nasdaq Rebrand
GDELT, „ KI löst Flash - Crash aus : Die 8 gewagten Vorhersagen der Saxo Bank für 2026,2026-01-02,boerse-online.de,https://www.boerse-online.de/nachrichten/aktien/ki-loest-flash-crash-aus-die-8-gewagten-vorhersagen-der-saxo-bank-fuer-2026-20392871.html, „ KI löst Flash - Crash aus : Die 8 gewagten Vorhersagen der Saxo Bank für 2026
GDELT,Fentanyl vaccine enters human clinical trials in 2026 for overdose prevention,2026-01-02,foxnews.com,https://www.foxnews.com/health/first-of-its-kind-fentanyl-vaccine-targets-overdoses-before-start,Fentanyl vaccine enters human clinical trials in 2026 for overdose prevention
GDELT,Anticipan un  panorama complicado  para uno de los gigantes del agro,2026-01-02,iprofesional.com,https://www.iprofesional.com/negocios/445183-anticipan-un-panorama-complicado-para-uno-de-los-gigantes-del-agro,Anticipan un  panorama complicado  para uno de los gigantes del agro
GDELT,"10x Genomics ( TXG ) Stock Is Up , What You Need To Know",2026-01-02,finance.yahoo.com,https://finance.yahoo.com/news/10x-genomics-txg-stock-know-184555455.html,"10x Genomics ( TXG ) Stock Is Up , What You Need To Know"
GDELT,Gene Therapy : 5 Biotech Stocks Chasing the $36B Prize,2026-01-02,marketscreener.com,https://www.marketscreener.com/news/gene-therapy-5-biotech-stocks-chasing-the-36b-prize-ce7e59d9dc8ff124,Gene Therapy : 5 Biotech Stocks Chasing the $36B Prize
GDELT,"Plantas que  respiran  nitrógeno y tomates que resisten la sal , la agricultura del futuro « Diario La Capital de Mar del Plata",2026-01-02,lacapitalmdp.com,https://www.lacapitalmdp.com/plantas-que-respiran-nitrogeno-y-tomates-que-resisten-la-sal-la-agricultura-del-futuro/,"Plantas que  respiran  nitrógeno y tomates que resisten la sal , la agricultura del futuro « Diario La Capital de Mar del Plata"
GDELT,Insider Buying : Smart Money Just Spent +$100M on These 3 Stocks,2026-01-02,investing.com,https://www.investing.com/analysis/insider-buying-smart-money-just-spent-100m-on-these-3-stocks-200672626,Insider Buying : Smart Money Just Spent +$100M on These 3 Stocks
GDELT,  Biosecure Act : New bill forces California biotech firms to cut ties with Chinese companies – Silicon Valley,2026-01-02,siliconvalley.com,https://www.siliconvalley.com/2026/01/02/new-bill-forces-local-biotech-firms-to-cut-ties-with-chinese-companies/,  Biosecure Act : New bill forces California biotech firms to cut ties with Chinese companies – Silicon Valley
GDELT,Datavault AI Inc . Bolsters Intellectual Property and Litigation Capabilities with the Addition of Kasowitz LLP lead by Marc Kasowitz to Legal Team,2026-01-02,saltlakecitysun.com,http://www.saltlakecitysun.com/news/278786899/datavault-ai-inc-bolsters-intellectual-property-and-litigation-capabilities-with-the-addition-of-kasowitz-llp-lead-by-marc-kasowitz-to-legal-team,Datavault AI Inc . Bolsters Intellectual Property and Litigation Capabilities with the Addition of Kasowitz LLP lead by Marc Kasowitz to Legal Team
GDELT,Best Healthcare Stocks To Watch Now – January 2nd,2026-01-02,dailypolitical.com,https://www.dailypolitical.com/2026/01/02/best-healthcare-stocks-to-watch-now-january-2nd.html,Best Healthcare Stocks To Watch Now – January 2nd
GDELT,Ainos Articulates Its Platform Strategy to Digitize Smell as the Next Native AI Data Language,2026-01-02,newjerseytelegraph.com,http://www.newjerseytelegraph.com/news/278786887/ainos-articulates-its-platform-strategy-to-digitize-smell-as-the-next-native-ai-data-language,Ainos Articulates Its Platform Strategy to Digitize Smell as the Next Native AI Data Language
GDELT,Воротников : образовательные спецпрограммы позволяют бизнесу адаптироваться в новых реалиях,2026-01-04,tass.ru,https://tass.ru/ekonomika/26084159,Воротников : образовательные спецпрограммы позволяют бизнесу адаптироваться в новых реалиях
GDELT,Υγεία και μακροχρόνια φροντίδα στην Ελλάδα,2026-01-04,athinapoli.gr,https://athinapoli.gr/blog-post_53-21/,Υγεία και μακροχρόνια φροντίδα στην Ελλάδα
